s,mean,sd,low,high
0,84,7,76,111
1,67,9,45,87
2,59,12,36,86
3,50,12,32,80
4,45,13,24,75
5,40,10,21,66
6,35,9,19,61
7,33,9,16,59
8,31,9,14,58
9,30,9,13,56
10,27,9,13,60
11,26,8,13,51
12,24,7,12,43
13,26,8,11,47
14,21,4,12,32
15,23,5,11,35
16,20,6,10,41
17,18,6,8,43
18,16,4,8,27
19,18,5,11,40
20,16,5,8,28
21,17,5,9,32
22,17,6,7,30
23,15,5,7,28
24,16,4,7,24
25,15,5,7,33
26,15,5,8,35
27,14,4,6,29
28,15,4,8,29
29,14,4,6,27
30,12,3,7,23
31,12,3,5,20
32,12,3,6,24
33,13,4,6,25
34,13,4,6,29
35,12,3,6,24
36,12,3,6,24
37,12,3,7,23
38,12,3,6,25
39,11,3,5,23
40,10,2,5,18
41,11,3,6,23
42,11,3,6,21
43,11,3,6,22
44,9,2,4,16
45,10,3,5,24
46,10,3,5,22
47,10,2,5,18
48,10,2,5,15
49,9,2,5,15
50,9,3,5,21
52,9,3,4,17
54,9,2,5,13
56,8,2,4,16
58,9,2,5,16
60,8,2,5,17
62,9,2,5,15
64,8,2,5,14
66,7,2,4,15
68,8,2,3,15
70,8,2,4,19
72,8,2,4,17
74,7,2,4,14
76,7,2,3,13
78,7,1,4,11
80,7,2,3,12
82,7,2,4,16
84,6,1,3,12
86,7,2,4,13
88,6,1,4,12
90,6,2,3,14
92,6,1,4,9
94,6,1,3,12
96,7,1,3,11
98,6,1,3,13
100,6,1,3,11
110,5,1,3,10
120,5,1,3,9
130,5,1,3,10
140,5,1,3,7
150,4,1,3,10
160,5,1,3,8
170,4,1,3,7
180,5,1,3,9
190,4,1,3,7
200,4,1,3,7
250,3,1,2,6
300,3,0,2,6
350,3,0,2,4
400,4,0,2,7
450,3,1,2,5
500,3,0,2,4
600,3,0,2,5
700,2,1,2,4
800,2,0,2,4
900,2,0,2,4
1000,2,0,2,3
2000,2,0,2,4
3000,2,0,2,3
4000,2,0,2,2
5000,2,0,2,3
6000,2,0,2,3
7000,2,0,2,3
8000,2,0,2,3
9000,2,0,2,3
10000,3,0,2,4
