s,mean,sd,low,high
0,19,1,18,23
1,16,2,10,21
2,13,2,8,18
3,10,2,6,16
4,11,3,6,21
5,10,2,6,17
6,9,2,4,17
7,8,2,4,14
8,7,2,3,14
9,7,2,3,13
10,7,2,3,15
11,7,2,3,12
12,6,1,3,10
13,5,1,2,10
14,5,1,2,11
15,5,1,2,8
16,5,1,2,9
17,5,1,2,10
18,4,1,2,8
19,4,1,2,7
20,4,1,1,9
21,3,1,2,6
22,4,1,2,7
23,3,1,2,6
24,3,1,1,6
25,3,1,2,6
26,3,1,2,7
27,3,1,2,8
28,3,1,1,10
29,3,1,1,6
30,3,0,1,5
31,3,1,1,8
32,3,1,1,6
33,3,1,1,6
34,2,1,1,6
35,2,1,1,4
36,2,1,1,5
37,2,1,1,5
38,2,1,1,4
39,2,1,1,5
40,2,1,1,5
41,2,0,1,4
42,2,1,1,5
43,2,0,1,4
44,2,0,1,4
45,2,0,1,4
46,2,0,1,4
47,2,0,1,3
48,2,0,1,4
49,2,0,1,3
50,2,0,1,3
52,2,0,1,4
54,2,0,1,4
56,2,0,1,4
58,2,0,1,3
60,1,1,1,3
62,1,1,1,3
64,2,0,1,5
66,2,0,1,4
68,2,0,1,5
70,1,0,1,3
72,1,0,1,3
74,1,0,1,2
76,1,0,1,3
78,1,0,1,3
80,1,0,0,3
82,1,0,1,3
84,1,0,1,2
86,1,0,0,2
88,1,0,0,3
90,1,0,0,3
92,1,0,0,2
94,1,0,1,3
96,1,0,0,2
98,1,0,0,3
100,1,0,0,2
110,1,0,0,2
120,1,0,0,2
130,1,0,0,1
140,1,0,0,1
150,1,0,0,1
160,1,0,0,1
170,1,0,0,1
180,1,0,0,1
190,1,0,0,1
200,1,0,0,1
250,0,0,0,1
300,0,0,0,1
350,0,0,0,1
400,0,0,0,1
450,0,0,0,1
500,0,0,0,1
600,0,0,0,0
700,0,0,0,1
800,0,0,0,1
900,0,0,0,1
1000,0,0,0,0
2000,0,0,0,1
3000,0,0,0,0
4000,0,0,0,0
5000,0,0,0,0
6000,0,0,0,0
7000,0,0,0,0
8000,0,0,0,0
9000,0,0,0,0
10000,0,0,0,0
