s,mean,sd,low,high
0,75,6,72,114
1,64,8,43,74
2,55,9,36,71
3,45,9,28,66
4,41,8,24,63
5,35,10,19,58
6,32,10,14,64
7,29,10,15,52
8,29,8,14,50
9,29,8,17,52
10,24,7,13,51
11,25,7,10,42
12,22,7,11,42
13,20,5,11,37
14,19,5,11,35
15,21,6,11,41
16,19,6,10,42
17,17,6,8,34
18,17,5,9,31
19,17,5,7,32
20,16,5,8,38
21,15,5,7,30
22,13,3,7,22
23,15,4,8,28
24,14,4,7,28
25,13,4,7,24
26,12,3,6,24
27,13,5,6,28
28,11,3,6,19
29,12,4,7,24
30,12,4,6,24
31,12,3,5,24
32,10,3,6,18
33,11,2,6,18
34,10,3,5,21
35,11,3,5,27
36,10,2,5,16
37,10,2,5,18
38,9,3,5,20
39,9,2,4,15
40,9,2,5,18
41,9,2,5,16
42,9,2,5,16
43,9,2,4,14
44,9,2,4,15
45,9,2,4,18
46,9,2,5,16
47,10,2,5,18
48,10,3,4,17
49,9,3,5,17
50,8,3,4,22
52,9,2,5,17
54,8,2,5,15
56,8,2,5,17
58,8,2,4,13
60,7,1,3,11
62,8,2,3,14
64,7,2,4,19
66,7,1,4,10
68,7,1,4,12
70,7,1,4,11
72,7,2,3,16
74,7,2,4,15
76,7,2,3,12
78,7,2,4,16
80,6,1,4,10
82,6,1,4,12
84,6,2,3,12
86,6,1,3,11
88,6,2,3,13
90,6,1,3,12
92,6,1,3,13
94,6,1,4,11
96,5,1,3,10
98,5,1,3,8
100,5,1,3,10
110,6,1,3,12
120,5,1,3,9
130,5,1,3,8
140,4,1,3,8
150,4,1,3,8
160,4,1,3,7
170,4,1,2,7
180,4,0,3,7
190,3,1,2,6
200,4,1,2,7
250,3,1,2,5
300,3,0,2,5
350,3,0,2,4
400,3,0,2,5
450,3,0,2,4
500,2,0,2,3
600,2,0,2,3
700,2,0,2,4
800,2,0,2,3
900,3,0,2,4
1000,3,0,2,4
2000,3,0,2,5
3000,2,0,2,3
4000,2,0,2,4
5000,2,0,2,3
6000,2,1,2,5
7000,2,0,2,3
8000,2,0,2,4
9000,2,0,2,4
10000,2,0,2,3
