s,mean,sd,low,high
0,18,1,16,22
1,15,2,9,20
2,13,3,6,21
3,12,3,5,20
4,11,2,6,16
5,9,2,4,17
6,8,2,4,14
7,8,2,4,14
8,6,2,3,11
9,6,2,3,13
10,6,1,3,10
11,6,2,3,14
12,5,1,3,10
13,6,1,2,11
14,5,1,2,10
15,5,1,3,8
16,5,2,2,11
17,4,2,2,11
18,4,1,2,7
19,4,1,1,7
20,3,1,1,6
21,4,1,1,6
22,3,1,2,7
23,3,1,1,6
24,3,1,1,6
25,3,0,1,5
26,3,0,1,5
27,3,1,1,7
28,3,1,1,6
29,3,1,1,6
30,2,1,1,5
31,2,1,1,6
32,3,1,1,7
33,3,0,1,5
34,2,1,1,5
35,2,1,1,5
36,2,1,1,5
37,2,1,1,4
38,3,0,1,5
39,2,1,1,4
40,2,1,1,5
41,2,0,1,4
42,2,0,1,4
43,2,0,1,4
44,2,0,1,4
45,2,0,1,5
46,2,0,1,5
47,2,0,1,4
48,2,0,1,4
49,2,0,1,4
50,2,0,1,4
52,2,0,1,3
54,2,0,1,5
56,1,1,1,3
58,1,1,1,3
60,2,0,1,3
62,1,0,1,3
64,1,0,1,3
66,1,1,1,4
68,1,1,1,3
70,1,0,0,2
72,1,0,1,2
74,1,0,0,3
76,1,0,1,2
78,1,0,0,3
80,1,0,1,4
82,1,0,0,3
84,1,1,0,5
86,1,0,1,2
88,1,0,0,2
90,1,0,0,3
92,1,0,1,2
94,1,0,0,2
96,1,0,0,2
98,1,0,0,2
100,1,0,0,2
110,1,0,0,2
120,1,0,0,2
130,1,0,0,2
140,1,0,0,1
150,1,0,0,1
160,1,0,0,1
170,1,0,0,1
180,1,0,0,1
190,1,0,0,1
200,0,0,0,1
250,1,0,0,1
300,0,0,0,1
350,0,0,0,1
400,0,0,0,1
450,0,0,0,1
500,0,0,0,1
600,0,0,0,1
700,0,0,0,0
800,0,0,0,1
900,0,0,0,1
1000,0,0,0,1
2000,0,0,0,1
3000,0,0,0,1
4000,0,0,0,1
5000,0,0,0,0
6000,0,0,0,0
7000,0,0,0,0
8000,0,0,0,1
9000,0,0,0,0
10000,0,0,0,1
